"","wmon","membership_start","membership_end","fmisid","station_name","station_start","sattion_end","loc_id","loc_start","loc_end","h","lon","lat","lsm","z_oro","lsm_41r2","z_oro_41r2","lpnn"
"86",1139,1700-01-01,9999-12-31,132079,"Vaeroey Heliport","1700-01-01 00:00:00","9999-12-31 00:00:00",32339,"1700-01-01 00:00:00","9999-12-31 00:00:00",4,12.72277,67.65277,0,2.27,0,2.24,NA
"88",1143,1700-01-01,9999-12-31,113965,"Drag-Ajluokta","1700-01-01 00:00:00","9999-12-31 00:00:00",11953,"1700-01-01 00:00:00","9999-12-31 00:00:00",19,16.08361,68.04694,74.9,150.01,100,138.25,NA
"89",1144,1700-01-01,9999-12-31,132694,"Helligvaer Ii","1700-01-01 00:00:00","9999-12-31 00:00:00",32504,"1700-01-01 00:00:00","9999-12-31 00:00:00",24,13.89555,67.40472,0,2.91,0,4.52,NA
"90",1146,1700-01-01,9999-12-31,132070,"Skamdal","1700-01-01 00:00:00","9999-12-31 00:00:00",32324,"1700-01-01 00:00:00","9999-12-31 00:00:00",5,13.89666,66.23472,100,304.89,100,284.28,NA
"91",1147,1700-01-01,9999-12-31,113966,"Varntresk","1700-01-01 00:00:00","9999-12-31 00:00:00",11954,"1700-01-01 00:00:00","9999-12-31 00:00:00",406,14.18444,65.82638,100,630.24,100,625.16,NA
"92",1148,1700-01-01,9999-12-31,131345,"Storforshei","1700-01-01 00:00:00","9999-12-31 00:00:00",32005,"1700-01-01 00:00:00","9999-12-31 00:00:00",110,14.53055,66.39611,100,544.72,100,469.52,NA
"94",1150,1700-01-01,9999-12-31,113997,"Hjartasen","1700-01-01 00:00:00","9999-12-31 00:00:00",11985,"1700-01-01 00:00:00","9999-12-31 00:00:00",251,14.95388,66.49916,100,748.77,100,698.34,NA
"95",1151,1700-01-01,9999-12-31,113968,"Mo I Rana/Rossvoll","1700-01-01 00:00:00","9999-12-31 00:00:00",11956,"1700-01-01 00:00:00","9999-12-31 00:00:00",70,14.30138,66.36444,100,393.24,100,287.83,NA
"96",1152,1700-01-01,9999-12-31,113969,"Bodo Vi","1700-01-01 00:00:00","9999-12-31 00:00:00",11957,"1700-01-01 00:00:00","9999-12-31 00:00:00",11,14.35861,67.26694,0,36.03,0,56.09,NA
"99",1156,1700-01-01,9999-12-31,113971,"Bo I Vesteralen","1700-01-01 00:00:00","9999-12-31 00:00:00",11959,"1700-01-01 00:00:00","9999-12-31 00:00:00",7,14.43305,68.60666,0,17.61,0,20.42,NA
"100",1158,1700-01-01,9999-12-31,113998,"Setsa","1700-01-01 00:00:00","9999-12-31 00:00:00",11986,"1700-01-01 00:00:00","9999-12-31 00:00:00",7,15.48555,67.16555,100,347.87,100,372.55,NA
"101",1160,1700-01-01,9999-12-31,113972,"Skrova Lh","1700-01-01 00:00:00","9999-12-31 00:00:00",11960,"1700-01-01 00:00:00","9999-12-31 00:00:00",11,14.65,68.15,0,23.55,0,21.39,NA
"102",1161,1700-01-01,9999-12-31,113973,"Svolvaer/Helle","1700-01-01 00:00:00","9999-12-31 00:00:00",11961,"1700-01-01 00:00:00","9999-12-31 00:00:00",9,14.66944,68.24527,0,95.06,0,112.13,NA
"103",1162,1700-01-01,9999-12-31,113974,"Storkmarknes/Skagen","1700-01-01 00:00:00","9999-12-31 00:00:00",11962,"1700-01-01 00:00:00","9999-12-31 00:00:00",3,15.02944,68.58,0,117.28,64,109.32,NA
"104",1167,1700-01-01,9999-12-31,113975,"Sortland","1700-01-01 00:00:00","9999-12-31 00:00:00",11963,"1700-01-01 00:00:00","9999-12-31 00:00:00",3,15.41666,68.7,60,140.51,100,152.98,NA
"105",1169,1700-01-01,9999-12-31,113976,"Saltdal","1700-01-01 00:00:00","9999-12-31 00:00:00",11964,"1700-01-01 00:00:00","9999-12-31 00:00:00",37,15.31555,66.93722,100,604.67,100,572.74,NA
"107",1180,1700-01-01,9999-12-31,113978,"Harstad","1700-01-01 00:00:00","9999-12-31 00:00:00",11966,"1700-01-01 00:00:00","9999-12-31 00:00:00",45,16.53722,68.8025,58,109.89,40.7,111.45,NA
"108",1183,1700-01-01,9999-12-31,113979,"Evenes","1700-01-01 00:00:00","9999-12-31 00:00:00",11967,"1700-01-01 00:00:00","9999-12-31 00:00:00",26,16.68333,68.49111,96.7,193.5,100,155.79,NA
"109",1192,1700-01-01,9999-12-31,127852,"Straumsnes","1700-01-01 00:00:00","9999-12-31 00:00:00",30405,"1700-01-01 00:00:00","9999-12-31 00:00:00",200,17.66222,68.43194,100,461.23,100,458.58,NA
"110",1193,1700-01-01,9999-12-31,113980,"Narvik/Framnes","1700-01-01 00:00:00","9999-12-31 00:00:00",11968,"1700-01-01 00:00:00","9999-12-31 00:00:00",31,17.38861,68.43972,100,325.17,53.9,275.9,NA
"113",1198,1700-01-01,9999-12-31,130076,"Dividalen Ii","1700-01-01 00:00:00","9999-12-31 00:00:00",31582,"1700-01-01 00:00:00","9999-12-31 00:00:00",204,19.70166,68.78166,100,738.73,100,741.94,NA
"114",1199,1700-01-01,9999-12-31,113983,"Sihccajavri","1700-01-01 00:00:00","9999-12-31 00:00:00",11971,"1700-01-01 00:00:00","9999-12-31 00:00:00",382,23.53861,68.75527,100,438.41,100,430.67,NA
"115",1203,1700-01-01,9999-12-31,113984,"Krakenes","1700-01-01 00:00:00","9999-12-31 00:00:00",353043,"1700-01-01 00:00:00","9999-12-31 00:00:00",75,4.98483,62.03366,0,60.75,0,49.93,NA
"116",1205,1700-01-01,9999-12-31,113985,"Svinoy Lh","1700-01-01 00:00:00","9999-12-31 00:00:00",11973,"1700-01-01 00:00:00","9999-12-31 00:00:00",38,5.26777,62.32916,0,16.84,0,7.98,NA
"117",1207,1700-01-01,9999-12-31,113992,"Fiskabygd","1700-01-01 00:00:00","9999-12-31 00:00:00",11980,"1700-01-01 00:00:00","9999-12-31 00:00:00",41,5.58166,62.10277,100,263.01,100,294.07,NA
"118",1209,1700-01-01,9999-12-31,113986,"Orsta-Volda/Hovden","1700-01-01 00:00:00","9999-12-31 00:00:00",11974,"1700-01-01 00:00:00","9999-12-31 00:00:00",74,6.08055,62.18111,100,356.37,100,333.83,NA
"119",1210,1700-01-01,9999-12-31,113987,"Alesund/Vigra","1700-01-01 00:00:00","9999-12-31 00:00:00",11975,"1700-01-01 00:00:00","9999-12-31 00:00:00",22,6.115,62.56166,0,42,0,24.2,NA
"120",1212,1700-01-01,9999-12-31,133878,"Ona Ii","1700-01-01 00:00:00","9999-12-31 00:00:00",33425,"1700-01-01 00:00:00","9999-12-31 00:00:00",13,6.53944,62.85944,0,-1.87,0,-11.8,NA
"121",1214,1700-01-01,9999-12-31,113995,"Rekdal","1700-01-01 00:00:00","9999-12-31 00:00:00",11983,"1700-01-01 00:00:00","9999-12-31 00:00:00",43,6.755,62.65111,79.1,140.58,79.1,170.14,NA
"123",1217,1700-01-01,9999-12-31,113989,"Molde/Aro","1700-01-01 00:00:00","9999-12-31 00:00:00",11977,"1700-01-01 00:00:00","9999-12-31 00:00:00",3,7.26166,62.74444,95.6,141.55,13.4,115.3,NA
"124",1218,1700-01-01,9999-12-31,132117,"Tafjord","1700-01-01 00:00:00","9999-12-31 00:00:00",32351,"1700-01-01 00:00:00","9999-12-31 00:00:00",11,7.42166,62.23027,100,973.09,100,951.42,NA
"125",1220,1700-01-01,9999-12-31,132075,"Mannen","1700-01-01 00:00:00","9999-12-31 00:00:00",32331,"1700-01-01 00:00:00","9999-12-31 00:00:00",1294,7.77027,62.45555,100,864.98,100,882.63,NA
"126",1221,1700-01-01,9999-12-31,113994,"Tagdalen","1700-01-01 00:00:00","9999-12-31 00:00:00",353045,"1700-01-01 00:00:00","9999-12-31 00:00:00",450,9.07222,63.05555,100,479.11,100,477.48,NA
"127",1223,1700-01-01,9999-12-31,113991,"Kristiansund/Kvernberget","1700-01-01 00:00:00","9999-12-31 00:00:00",11979,"1700-01-01 00:00:00","9999-12-31 00:00:00",62,7.81583,63.10944,6.6,47.71,12.4,50.41,NA
"128",1224,1700-01-01,9999-12-31,114001,"Aalesund","1700-01-01 00:00:00","9999-12-31 00:00:00",11989,"1700-01-01 00:00:00","9999-12-31 00:00:00",15,6.21055,62.47027,0,115.84,0,77.7,NA
"129",1225,1700-01-01,9999-12-31,114002,"Veiholmen","1700-01-01 00:00:00","9999-12-31 00:00:00",11990,"1700-01-01 00:00:00","9999-12-31 00:00:00",5,7.94666,63.52777,0,2.03,0,8.87,NA
"131",1228,1700-01-01,9999-12-31,114004,"Sula","1700-01-01 00:00:00","9999-12-31 00:00:00",11992,"1700-01-01 00:00:00","9999-12-31 00:00:00",5,8.46666,63.84666,0,-0.07,0,2.04,NA
"132",1229,1700-01-01,9999-12-31,100794,"Lebergsfjellet","1700-01-01 00:00:00","9999-12-31 00:00:00",353514,"1700-01-01 00:00:00","9999-12-31 00:00:00",625,6.87166,62.51583,100,298.11,100,341.13,NA
"133",1230,1700-01-01,9999-12-31,114007,"Bjorli","1700-01-01 00:00:00","9999-12-31 00:00:00",11995,"1700-01-01 00:00:00","9999-12-31 00:00:00",579,8.19972,62.25805,100,1198.28,100,1140.48,NA
"135",1232,1700-01-01,9999-12-31,114008,"Marstein","1700-01-01 00:00:00","9999-12-31 00:00:00",11996,"1700-01-01 00:00:00","9999-12-31 00:00:00",67,7.84805,62.445,100,923.25,100,936.93,NA
"136",1233,1700-01-01,9999-12-31,114009,"Dombaas","1700-01-01 00:00:00","9999-12-31 00:00:00",11997,"1700-01-01 00:00:00","9999-12-31 00:00:00",638,9.11611,62.07194,100,1083.18,100,1025.38,NA
"137",1234,1700-01-01,9999-12-31,114015,"Orkdal-Thamshamn","1700-01-01 00:00:00","9999-12-31 00:00:00",12003,"1700-01-01 00:00:00","9999-12-31 00:00:00",4,9.84944,63.31527,100,221.89,100,221.91,NA
"139",1237,1700-01-01,9999-12-31,100795,"Hitra","1700-01-01 00:00:00","9999-12-31 00:00:00",353515,"1700-01-01 00:00:00","9999-12-31 00:00:00",13,9.1125,63.51916,0,59.64,10,41.95,NA
"140",1238,1700-01-01,9999-12-31,114010,"Fokstugu","1700-01-01 00:00:00","9999-12-31 00:00:00",11998,"1700-01-01 00:00:00","9999-12-31 00:00:00",973,9.28611,62.11305,100,1146.39,100,1106.23,NA
"141",1239,1700-01-01,9999-12-31,114017,"Hjerkinn Ii","1700-01-01 00:00:00","9999-12-31 00:00:00",12005,"1700-01-01 00:00:00","9999-12-31 00:00:00",1012,9.54222,62.22055,100,1199.94,100,1181.62,NA
"142",1240,1700-01-01,9999-12-31,114011,"Halten Lh","1700-01-01 00:00:00","9999-12-31 00:00:00",11999,"1700-01-01 00:00:00","9999-12-31 00:00:00",16,9.40611,64.17277,0,0.34,0,1.4,NA
"143",1241,1700-01-01,9999-12-31,114012,"Orland Iii","1700-01-01 00:00:00","9999-12-31 00:00:00",12000,"1700-01-01 00:00:00","9999-12-31 00:00:00",10,9.60111,63.70027,0,35.17,0,31.38,NA
"144",1242,1700-01-01,9999-12-31,114016,"Afjord Ii","1700-01-01 00:00:00","9999-12-31 00:00:00",12004,"1700-01-01 00:00:00","9999-12-31 00:00:00",20,10.21555,63.96583,100,188.99,100,181.12,NA
"145",1245,1700-01-01,9999-12-31,114013,"Oppdal-Seter","1700-01-01 00:00:00","9999-12-31 00:00:00",12001,"1700-01-01 00:00:00","9999-12-31 00:00:00",604,9.66666,62.60416,100,955.34,100,981.85,NA
"146",1250,1700-01-01,9999-12-31,132103,"Folldal_Fredheim","1700-01-01 00:00:00","9999-12-31 00:00:00",32319,"1700-01-01 00:00:00","9999-12-31 00:00:00",694,9.99472,62.12805,100,1015.6,100,945.67,NA
"148",1253,1700-01-01,9999-12-31,114023,"Soknedal","1700-01-01 00:00:00","9999-12-31 00:00:00",12011,"1700-01-01 00:00:00","9999-12-31 00:00:00",299,10.17861,62.95333,100,523.81,100,538.46,NA
